Type,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0
RetailCustomer,0.9,0.9,0.9,0.9,0.9,0.85,0.8,0.85,0.9,0.9,0.9,0.85,0.8,0.9,0.9,0.9,0.9,0.9,0.9
RetailEmployee,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
SportingGoodsShopCustomer,0.9,0.9,0.9,0.9,0.9,0.85,0.8,0.85,0.9,0.9,0.9,0.85,0.8,0.9,0.9,0.9,0.9,0.9,0.9
SportingGoodsShopEmployee,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
AutoDealershipCustomer,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
AutoDealershipEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FineCasualDiningCustomer,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
FineCasualDiningEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FamilyRestaurantCustomer,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
FamilyRestaurantEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FastFoodCustomer,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
FastFoodEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EntertainmentCustomer,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
EntertainmentEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MedicalDentalCustomer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MedicalDentalEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OfficeCustomer,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
OfficeEmployee,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
HealthClubCustomer,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
HealthClubEmployee,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
DaycareCustomer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DaycareEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ResidentialCustomer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ResidentialEmployee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BusinessHotelCustomer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BusinessHotelEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LeisureHotelCustomer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LeisureHotelEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ConventionHotelCustomer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ConventionHotelEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BanquetHotelCustomer,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BanquetHotelEmployee,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SupermarketCustomer,0.9,0.9,0.9,0.9,0.9,0.85,0.8,0.85,0.9,0.9,0.9,0.85,0.8,0.9,0.9,0.9,0.9,0.9,0.9
SupermarketEmployee,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
