Type,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,0
RetailCustomer,0.01,0.05,0.3,0.5,0.7,0.9,0.95,1,1,0.95,0.9,0.8,0.75,0.7,0.65,0.5,0.3,0.1,0
RetailEmployee,0.1,0.15,0.4,0.75,0.85,0.95,1,1,1,1,1,0.95,0.85,0.8,0.75,0.65,0.45,0.15,0
SportingGoodsShopCustomer,0.01,0.05,0.3,0.5,0.7,0.9,0.95,1,1,0.95,0.9,0.8,0.75,0.7,0.65,0.5,0.3,0.1,0
SportingGoodsShopEmployee,0.1,0.15,0.4,0.75,0.85,0.95,1,1,1,1,1,0.95,0.85,0.8,0.75,0.65,0.45,0.15,0
AutoDealershipCustomer,0.01,0.05,0.3,0.5,0.7,0.9,0.95,1,1,0.95,0.9,0.8,0.75,0.7,0.65,0.5,0.3,0.1,0
AutoDealershipEmployee,0.1,0.15,0.4,0.75,0.85,0.95,1,1,1,1,1,0.95,0.85,0.8,0.75,0.65,0.45,0.15,0
FineCasualDiningCustomer,0,0,0,0,0,0.15,0.5,0.55,0.45,0.45,0.45,0.6,0.9,0.95,1,0.9,0.9,0.9,0.5
FineCasualDiningEmployee,0,0.2,0.3,0.6,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1,1,1,1,1,1,0.85,0.5
FamilyRestaurantCustomer,0.1,0.25,0.45,0.7,0.9,0.9,1,0.85,0.65,0.4,0.45,0.6,0.7,0.7,0.65,0.3,0.25,0.15,0.1
FamilyRestaurantEmployee,0.5,0.75,0.9,0.9,1,1,1,1,1,0.75,0.75,0.95,0.95,0.95,0.95,0.8,0.65,0.65,0.35
FastFoodCustomer,0.05,0.1,0.2,0.3,0.55,0.85,1,1,0.9,0.6,0.55,0.6,0.85,0.8,0.5,0.3,0.2,0.1,0.05
FastFoodEmployee,0.5,0.75,0.9,0.9,1,1,1,1,1,0.75,0.75,0.95,0.95,0.95,0.95,0.8,0.65,0.65,0.35
FamilyEntertainmentCustomer,0,0,0,0,0.25,0.65,0.85,0.9,0.95,0.95,0.9,0.95,1,0.95,0.9,0.65,0.1,0,0
FamilyEntertainmentEmployee,0.05,0.05,0.05,0.25,0.75,1,1,1,1,1,1,1,1,1,1,0.75,0.1,0.05,0.05
AdultActiveEntertainmentCustomer,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.75,1,1,1,1
AdultActiveEntertainmentEmployee,0,0,0,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.2,0.45,0.7,1,1,1,1,1,1
MedicalDentalCustomer,0,0,0.9,0.9,1,1,0.3,0,0,0,0,0,0,0,0,0,0,0,0
MedicalDentalEmployee,0,0.2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
OfficeCustomer,0,0.2,0.6,0.8,0.9,1,0.9,0.8,0.6,0.4,0.2,0.1,0.05,0,0,0,0,0,0
OfficeEmployee,0,0.2,0.6,0.8,0.9,1,0.9,0.8,0.6,0.4,0.2,0.1,0.05,0,0,0,0,0,0
HealthClubCustomer,0.8,0.45,0.35,0.5,0.35,0.5,0.5,0.3,0.25,0.3,0.55,1,0.95,0.6,0.3,0.1,0.01,0.01,0
HealthClubEmployee,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,1,1,0.75,0.5,0.2,0.2,0.2,0
DaycareCustomer,0,0.02,0.25,0.75,0.2,0.2,0.2,0.2,0.2,0.2,1,0.5,0.2,0.05,0,0,0,0,0
DaycareEmployee,0,0.5,0.75,0.9,0.9,0.9,0.9,0.9,0.9,1,1,1,0.6,0.4,0.1,0,0,0,0
ResidentialCustomer,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6,1,1,1,1,0.8,0.5
ResidentialEmployee,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6,1,1,1,1,0.8,0.5
